ID,Title,Difficulty,Category,Topics,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topic Categories
1,Best Time to Buy and Sell Stock,EASY,Array,"Array, Dynamic Programming",38,"Adobe, Amazon, Apple, Atlassian, BlackRock, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Deolite, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Ola, Oracle, Palantir, PayPal, Salesforce, ServiceNow, Snap, Snowflake, Swiggy, Tesla, Uber, Visa, Walmart, Yahoo",78.7,0.552596541931788,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
2,Merge Intervals,MEDIUM,Array,"Array, Sorting",36,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Databricks, Deolite, Flipkart, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, Palantir, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Snowflake, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",53.3,0.4939526038842514,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
3,Valid Parentheses,EASY,Stack,"Stack, String",34,"Adobe, Amazon, Apple, BlackRock, Bloomberg, Cisco, DEShaw, Dell, Deolite, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Spotify, Swiggy, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",67.6,0.4232282382087554,https://leetcode.com/problems/valid-parentheses,"String, Stack"
4,LRU Cache,MEDIUM,Design,"Design, Doubly-Linked List, Hash Table, Linked List",34,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Citadel, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, Palantir, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Snowflake, Swiggy, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",91.1,0.4521456257537392,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design"
5,Longest Substring Without Repeating Characters,MEDIUM,Hash Table,"Hash Table, Sliding Window, String",34,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Dell, Deolite, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Snowflake, Spotify, Tesla, Uber, Visa, Walmart, Yahoo",75.7,0.3693616958685081,https://leetcode.com/problems/longest-substring-without-repeating-characters,"String, Hash Table, Sliding Window"
6,Number of Islands,MEDIUM,Array,"Array, BFS, Breadth-First Search, DFS, Depth-First Search, Matrix, Union Find",31,"Amazon, Apple, BlackRock, Bloomberg, ByteDance, Cisco, Citadel, Flipkart, Goldman Sachs, Google, Intel, Intuit, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, Palantir, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Snowflake, Tesla, Twitter, Uber, Visa, Walmart, Zomato",92.5,62.32%,https://leetcode.com/problems/number-of-islands,"Array, BFS, DFS, Union Find, Matrix"
7,Trapping Rain Water,HARD,Array,"Array, Dynamic Programming, Monotonic Stack, Stack, Two Pointers",31,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, Meta, Microsoft, NVIDIA, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Snowflake, Swiggy, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",73.2,0.6510194577693873,https://leetcode.com/problems/trapping-rain-water,"Array, Dynamic Programming, Stack, Two Pointers, Monotonic Stack"
8,Two Sum,EASY,Array,"Array, Hash Table",30,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Deolite, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Qualcomm, ServiceNow, Snowflake, Spotify, Uber, Visa, Walmart, Yahoo",100.0,0.5577699165086937,https://leetcode.com/problems/two-sum,"Array, Hash Table"
9,Maximum Subarray,MEDIUM,Array,"Array, Divide and Conquer, Dynamic Programming",29,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Cisco, DEShaw, Goldman Sachs, Google, IBM, Intel, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Tesla, Uber, Visa, Walmart, Yahoo, Zomato",50.0,0.5209977640581438,https://leetcode.com/problems/maximum-subarray,"Array, Dynamic Programming, Divide and Conquer"
10,Group Anagrams,MEDIUM,Array,"Array, Hash Table, Sorting, String",28,"Adobe, Amazon, Apple, Atlassian, BlackRock, Bloomberg, Cisco, Citadel, Dell, Goldman Sachs, Google, IBM, Intuit, JP Morgan, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow, Snap, Tesla, Uber, Visa, Walmart, Yahoo",69.0,0.7092883319407988,https://leetcode.com/problems/group-anagrams,"Array, String, Hash Table, Sorting"
11,3Sum,MEDIUM,Array,"Array, Sorting, Two Pointers",26,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Cisco, Citadel, Flipkart, Goldman Sachs, Google, IBM, Intuit, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow, Tesla, Uber, Visa, Walmart, Yahoo, Zomato",78.6,0.3707094094916058,https://leetcode.com/problems/3sum,"Array, Sorting, Two Pointers"
