Title,Difficulty,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topics,Topic Categories
Best Time to Buy and Sell Stock,EASY,38,"Adobe, Amazon, Apple, Atlassian, BlackRock, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Deolite, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Ola, Oracle, Palantir, PayPal, Salesforce, ServiceNow, Snap, Snowflake, Swiggy, Tesla, Uber, Visa, Walmart, Yahoo",78.7,0.552596541931788,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming","Array, Dynamic Programming"
Merge Intervals,MEDIUM,36,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Databricks, Deolite, Flipkart, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, Palantir, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Snowflake, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",53.3,0.4939526038842514,https://leetcode.com/problems/merge-intervals,"Array, Sorting","Array, Sorting"
Valid Parentheses,EASY,34,"Adobe, Amazon, Apple, BlackRock, Bloomberg, Cisco, DEShaw, Dell, Deolite, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Spotify, Swiggy, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",67.6,0.4232282382087554,https://leetcode.com/problems/valid-parentheses,"Stack, String","String, Stack"
LRU Cache,MEDIUM,34,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Citadel, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, Palantir, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Snowflake, Swiggy, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",91.1,0.4521456257537392,https://leetcode.com/problems/lru-cache,"Design, Doubly-Linked List, Hash Table, Linked List","Hash Table, Linked List, Design"
Longest Substring Without Repeating Characters,MEDIUM,34,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Dell, Deolite, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Snowflake, Spotify, Tesla, Uber, Visa, Walmart, Yahoo",75.7,0.3693616958685081,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, Sliding Window, String","String, Hash Table, Sliding Window"
Number of Islands,MEDIUM,31,"Amazon, Apple, BlackRock, Bloomberg, ByteDance, Cisco, Citadel, Flipkart, Goldman Sachs, Google, Intel, Intuit, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, Palantir, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Snowflake, Tesla, Twitter, Uber, Visa, Walmart, Zomato",92.5,62.32%,https://leetcode.com/problems/number-of-islands,"Array, Breadth-First Search, Depth-First Search, Matrix, Union Find","Array, BFS, DFS, Union Find, Matrix"
Trapping Rain Water,HARD,31,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, Meta, Microsoft, NVIDIA, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Snowflake, Swiggy, Tesla, Twitter, Uber, Visa, Walmart, Yahoo",73.2,0.6510194577693873,https://leetcode.com/problems/trapping-rain-water,"Array, Dynamic Programming, Monotonic Stack, Stack, Two Pointers","Array, Dynamic Programming, Stack, Two Pointers, Monotonic Stack"
Two Sum,EASY,30,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Deolite, Flipkart, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Qualcomm, ServiceNow, Snowflake, Spotify, Uber, Visa, Walmart, Yahoo",100.0,0.5577699165086937,https://leetcode.com/problems/two-sum,"Array, Hash Table","Array, Hash Table"
Maximum Subarray,MEDIUM,29,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Cisco, DEShaw, Goldman Sachs, Google, IBM, Intel, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Snap, Tesla, Uber, Visa, Walmart, Yahoo, Zomato",50.0,0.5209977640581438,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming","Array, Dynamic Programming, Divide and Conquer"
Group Anagrams,MEDIUM,28,"Adobe, Amazon, Apple, Atlassian, BlackRock, Bloomberg, Cisco, Citadel, Dell, Goldman Sachs, Google, IBM, Intuit, JP Morgan, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow, Snap, Tesla, Uber, Visa, Walmart, Yahoo",69.0,0.7092883319407988,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, Sorting, String","Array, String, Hash Table, Sorting"
